Host : lxcgpu03.hep.ph.ic.ac.uk
Date : Thu Jun 11 05:14:20 BST 2026
Args : --config configs/tune.yaml
GPU  : Tesla V100-PCIE-32GB

Backend: gpu cuda  |  pipeline: raw
Loading 1000 events from /vols/cms/mm1221/cms/Data/d5/1k_mix/hdf5 ...
  1000 events in 0.6s
Config snapshot: results/param_tuning/tune_d5_2/config.json
Starting MOPSO: 60 particles × 60 iterations
Timing first iteration (60 particles × 1000 events)...
First iteration:  220.5s
Estimated total:  60 iters × 220.5s/iter = 3h 40m  (finish ~08:59)

  iter  3/60  214.6s/iter  elapsed 10m 43s  remaining ~3h 23m  pareto 38
  iter  6/60  213.6s/iter  elapsed 21m 21s  remaining ~3h 12m  pareto 58
  iter  9/60  212.3s/iter  elapsed 31m 50s  remaining ~3h 00m  pareto 85
  iter 12/60  211.3s/iter  elapsed 42m 23s  remaining ~2h 49m  pareto 97
  iter 15/60  210.3s/iter  elapsed 52m 50s  remaining ~2h 37m  pareto 112
  iter 18/60  210.1s/iter  elapsed 1h 03m  remaining ~2h 27m  pareto 126
  iter 21/60  208.9s/iter  elapsed 1h 13m  remaining ~2h 15m  pareto 144
  iter 24/60  209.1s/iter  elapsed 1h 24m  remaining ~2h 05m  pareto 156
  iter 27/60  208.5s/iter  elapsed 1h 34m  remaining ~1h 54m  pareto 162
  iter 30/60  208.7s/iter  elapsed 1h 44m  remaining ~1h 44m  pareto 174
  iter 33/60  208.2s/iter  elapsed 1h 55m  remaining ~1h 33m  pareto 186
  iter 36/60  209.2s/iter  elapsed 2h 05m  remaining ~1h 23m  pareto 199
  iter 39/60  209.7s/iter  elapsed 2h 16m  remaining ~1h 13m  pareto 216
  iter 42/60  209.3s/iter  elapsed 2h 26m  remaining ~1h 02m  pareto 225
  iter 45/60  209.5s/iter  elapsed 2h 37m  remaining ~52m 22s  pareto 236
  iter 48/60  208.6s/iter  elapsed 2h 47m  remaining ~41m 43s  pareto 246
  iter 51/60  208.6s/iter  elapsed 2h 58m  remaining ~31m 16s  pareto 256
  iter 54/60  208.3s/iter  elapsed 3h 08m  remaining ~20m 49s  pareto 267
  iter 57/60  209.1s/iter  elapsed 3h 19m  remaining ~10m 27s  pareto 278
  iter 60/60  209.5s/iter  elapsed 3h 29m  remaining ~0s  pareto 286

Done in 3h 29m  (209.6s/iter avg)  Pareto size: 286

      dc    rhoc       do       dm  z_scale  max_purity   min_eff  pen_ratio
  1.2765  4.8444   7.1726   2.2593   0.2685      0.0259    0.3982    16.3388
  0.4353  3.4240   1.0000   1.7375   0.0100      0.0261    0.2601     9.6018
  0.5051  4.3129   2.1838   1.5917   0.0622      0.0266    0.3455    13.6317
  0.8296  3.9754  20.0000   2.0514   0.2073      0.0270    0.3822    15.9640
  0.5576  4.2272  12.5490   1.0000   0.0100      0.0274    0.2718    11.2993
  1.1035  4.3688  10.3695   2.1321   0.2538      0.0275    0.3942    13.8974
  0.3374  4.1154  15.8676   1.1092   0.0100      0.0276    0.2789    11.5158
  0.4912  3.3368   1.0000   1.0000   0.0100      0.0279    0.2677     7.2404
  1.2456  4.4286  12.1957   2.1297   0.2347      0.0292    0.3978    13.4928
  1.5559  5.7777  10.3916   2.6938   0.2994      0.0292    0.4058    17.8408
  0.4925  4.0844  18.6147   1.0000   0.0100      0.0292    0.2777     9.4343
  0.4867  4.2209   7.8302   1.4819   0.0563      0.0293    0.3393    11.7116
  1.4529  5.9519  17.5949   2.9382   0.3246      0.0297    0.4088    20.3733
  0.6432  4.3226  16.7556   2.3172   0.2029      0.0303    0.4020    15.5258
  0.6602  3.6426   4.1748   1.0000   0.0100      0.0316    0.2809     9.9970
  1.2046  4.9716  15.0868   2.2676   0.1868      0.0316    0.4176    14.9787
  0.6259  4.1019  20.0000   1.0000   0.0100      0.0317    0.2879    10.4439
  0.5675  3.9037  20.0000   1.0000   0.0100      0.0318    0.2868     9.5038
  0.4838  3.8745  19.7746   1.0000   0.0100      0.0318    0.2813     8.8840
  1.5001  5.6991  20.0000   2.9159   0.2840      0.0318    0.4208    18.5428
  1.0151  3.6457  20.0000   1.9363   0.1700      0.0318    0.3920    12.5657
  0.4657  3.7832  20.0000   1.0000   0.0100      0.0320    0.2820     8.4087
  0.4832  3.1272   1.0000   1.2794   0.0100      0.0321    0.2731     6.8575
  0.3698  3.6127  20.0000   1.0000   0.0100      0.0326    0.2761     8.3959
  0.9389  4.1931  20.0000   2.3423   0.1988      0.0328    0.4217    12.4476
  0.3987  3.2235   8.7419   1.0000   0.0100      0.0329    0.2777     8.3614
  1.3937  5.4206  20.0000   3.0418   0.3150      0.0337    0.4297    16.0815
  1.2699  4.8255  18.5097   2.5223   0.2153      0.0338    0.4249    14.3548
  0.5744  4.4607  17.2134   1.2976   0.0100      0.0345    0.3442    10.2989
  1.0646  5.0764  20.0000   3.1064   0.2964      0.0346    0.4351    16.4130
  0.9216  3.6106  13.5630   2.1082   0.2003      0.0349    0.4127    11.3715
  1.2061  3.5272  19.4789   2.0919   0.2467      0.0350    0.4124    10.3149
  0.7935  4.1702   8.3910   1.0000   0.0100      0.0352    0.2968    10.0596
  1.6754  4.8517  20.0000   2.5704   0.3124      0.0357    0.4318    13.4013
  0.6922  3.3166   1.0000   1.0000   0.0100      0.0362    0.2869     8.9344
  0.8793  4.3326  16.8439   1.8048   0.0974      0.0363    0.4010    10.0971
  0.9076  4.1689   3.8136   1.0000   0.0100      0.0363    0.3048     9.9076
  0.3851  3.4787  16.6751   1.0695   0.0100      0.0364    0.3010     7.8823
  1.4925  5.4631  14.6945   3.1198   0.2638      0.0366    0.4373    17.0842
  0.8779  3.6072  13.9380   2.1934   0.1815      0.0366    0.4245     9.9558
  1.6440  4.9460  20.0000   2.6840   0.2922      0.0372    0.4383    13.8337
  1.7004  4.3377  20.0000   2.3487   0.2821      0.0380    0.4350    10.8158
  1.4832  4.7888   5.3857   2.9302   0.3360      0.0383    0.4405    13.2802
  0.6134  4.1386   7.0101   1.3733   0.0161      0.0384    0.3605     9.2384
  0.3906  3.2687  16.0806   1.7434   0.1081      0.0384    0.3823     9.8909
  1.3860  3.8502  19.6389   2.2853   0.2259      0.0386    0.4388     9.2310
  0.3562  2.9391  20.0000   1.0000   0.0202      0.0387    0.2933     7.5238
  1.2389  3.9440  20.0000   2.4188   0.2289      0.0389    0.4425     9.8336
  1.0889  4.2212  18.6549   2.6732   0.2588      0.0391    0.4446    10.7455
  1.2455  4.1268  20.0000   2.6298   0.3002      0.0392    0.4451    10.1711
  1.2557  3.8154  10.9666   2.3372   0.2140      0.0399    0.4409     9.3773
  0.3391  2.9966  20.0000   1.0000   0.0100      0.0403    0.2938     7.5179
  0.3296  2.9566  18.6960   1.0000   0.0100      0.0405    0.2933     7.4926
  0.4925  3.4102   5.1104   1.3653   0.0279      0.0407    0.3612     8.4559
  0.4171  3.0976  12.3940   1.7604   0.1233      0.0407    0.3932     9.2068
  1.0176  3.8256  20.0000   2.4457   0.1958      0.0411    0.4478     8.4914
  0.3130  2.9333  20.0000   1.0000   0.0100      0.0419    0.2937     7.3355
  0.4754  3.4117  17.8786   1.1590   0.0100      0.0424    0.3358     7.2367
  1.0025  4.0397  20.0000   2.7219   0.2225      0.0424    0.4535    10.1405
  0.3079  2.6581   6.6302   1.0000   0.0100      0.0424    0.2881     6.0698
  0.6431  2.9863   1.0000   1.4071   0.0100      0.0426    0.2911     7.1896
  0.5855  2.8072   1.0000   1.0000   0.0100      0.0441    0.2894     7.1604
  0.8622  4.3043  20.0000   2.4421   0.1368      0.0446    0.4559    11.1077
  1.2552  4.9990  17.3685   2.9872   0.2026      0.0446    0.4667    16.1344
  1.3950  4.0186  17.5253   2.7625   0.2463      0.0453    0.4648     8.5127
  0.6409  2.2216   6.7801   1.7387   0.1758      0.0456    0.3827     5.7618
  0.7335  3.2006  20.0000   1.6938   0.0957      0.0456    0.4077     7.8182
  0.6536  2.2086  20.0000   1.7292   0.1609      0.0469    0.3869     6.4264
  1.1184  3.7031  15.8606   1.7080   0.1080      0.0470    0.4128     8.2912
  1.4132  3.6735  20.0000   2.4578   0.2249      0.0471    0.4641     6.8101
  1.0856  4.7716  15.0333   2.6565   0.1468      0.0475    0.4724    11.7383
  1.0232  4.1626   7.1352   2.6961   0.1718      0.0476    0.4699    11.2358
  1.0855  3.5607  20.0000   2.3124   0.1793      0.0483    0.4650     8.7239
  1.0274  3.5534   2.1059   2.0207   0.1174      0.0510    0.4455     5.8866
  0.5589  2.5464  15.0531   1.7526   0.1340      0.0513    0.4124     5.0516
  0.9993  3.1117  18.0140   2.4809   0.2430      0.0514    0.4699     5.6021
  0.7104  3.9951  10.7202   3.1171   0.2246      0.0515    0.4756    12.4377
  1.7410  5.5726  20.0000   2.7351   0.1869      0.0518    0.4820    14.0088
  1.1878  4.3159  16.2876   2.4381   0.1516      0.0519    0.4736     9.2436
  0.8941  3.8326  13.0153   2.7609   0.2039      0.0519    0.4788     8.7972
  1.2903  5.3009  16.8600   2.9478   0.1496      0.0520    0.4885    14.2513
  1.4040  4.6986  19.8963   2.7877   0.2023      0.0531    0.4845    10.9174
  1.1011  4.2316   8.2071   2.6991   0.1634      0.0538    0.4887     8.2004
  0.7714  3.9103  10.3193   2.9639   0.1604      0.0538    0.4889    10.2570
  1.1052  3.3995  20.0000   2.4348   0.1817      0.0541    0.4828     7.5108
  0.5053  2.7389  20.0000   1.0000   0.0100      0.0547    0.3164     4.9492
  1.2330  3.0744  12.8707   2.5986   0.2839      0.0549    0.4844     4.6614
  0.9974  2.3374  13.4905   1.9402   0.1884      0.0571    0.4330     4.4965
  1.7678  5.4778  15.0144   3.1970   0.1964      0.0583    0.4912    13.9481
  1.0275  3.6627   3.2410   2.3516   0.1175      0.0585    0.4860     6.4431
  1.0366  3.6597  16.2330   2.9588   0.2079      0.0585    0.4996     9.1898
  1.7296  4.4433  20.0000   2.8664   0.2512      0.0591    0.4983     8.4042
  1.7857  4.4722  20.0000   2.8660   0.2527      0.0595    0.4987     8.0682
  1.4698  3.5287  11.0297   2.3915   0.2036      0.0603    0.4881     5.7626
  1.3648  4.0278   9.7688   2.6398   0.1909      0.0604    0.4994     7.1499
  0.7825  2.7124  11.7256   2.0800   0.1350      0.0617    0.4722     4.4467
  1.1548  3.4905  11.6645   2.9630   0.1872      0.0625    0.5139     7.8173
  0.4784  2.4655  18.6731   1.0000   0.0100      0.0625    0.3233     4.3746
  1.8214  4.2623   5.7716   2.8017   0.2234      0.0625    0.5001     7.5059
  1.6002  3.7204   3.3789   2.8834   0.2498      0.0646    0.5069     4.6453
  1.5019  4.2324  10.8616   2.5736   0.1429      0.0653    0.5090     6.6767
  1.4081  3.9587  18.8177   2.7542   0.1877      0.0655    0.5116     6.8408
  1.0928  3.5102  15.6345   2.6239   0.1569      0.0659    0.5132     5.6736
  1.1779  4.0170   6.3599   2.8838   0.1252      0.0669    0.5210     7.4896
  0.5862  2.2087  20.0000   2.2719   0.2440      0.0670    0.4702     4.3131
  1.5397  4.1335  13.8946   3.1175   0.2173      0.0677    0.5251     8.1094
  1.2127  2.7033   6.2290   2.5717   0.2459      0.0682    0.5005     3.7054
  1.2889  3.9752  13.4955   3.2139   0.1896      0.0684    0.5270     7.8719
  1.4498  3.3907  10.8366   2.3804   0.1791      0.0700    0.5090     4.9890
  1.1260  2.7456  20.0000   2.8888   0.2759      0.0714    0.5172     4.1147
  1.0729  3.2469  16.9744   3.0823   0.1751      0.0722    0.5381     5.2176
  0.8872  2.7037   3.6351   3.1048   0.2540      0.0727    0.5187     4.2882
  1.0252  2.4179  10.9855   2.5997   0.2187      0.0739    0.5148     3.1046
  1.4237  3.7593  19.7561   2.5555   0.1320      0.0746    0.5284     4.8382
  1.2257  2.6282  19.0291   2.9276   0.2548      0.0750    0.5297     3.3947
  1.3633  3.5346  17.1195   3.0346   0.1841      0.0758    0.5428     5.2087
  1.4278  3.4070  20.0000   2.7481   0.1746      0.0764    0.5349     4.6400
  1.0235  2.8032  20.0000   2.9688   0.1912      0.0779    0.5419     3.9332
  1.3627  3.1065  20.0000   2.7037   0.1746      0.0791    0.5408     3.8431
  1.3120  2.3972   9.6016   2.6520   0.2158      0.0792    0.5276     3.0843
  1.3976  3.3622  20.0000   3.3928   0.2064      0.0811    0.5487     4.9081
  1.3965  3.6062  20.0000   3.4594   0.1804      0.0819    0.5521     4.9896
  1.0997  3.0578  17.9965   2.7004   0.1394      0.0820    0.5435     4.2353
  1.1127  2.4028   8.8895   3.0232   0.2526      0.0824    0.5414     3.1017
  1.0196  2.7148  20.0000   2.9084   0.1639      0.0826    0.5512     4.1166
  1.0808  3.3274  17.2147   3.1055   0.1260      0.0836    0.5555     4.9524
  1.2898  2.7759  20.0000   3.4352   0.2570      0.0842    0.5575     4.6310
  0.8568  2.9008  10.7754   3.3107   0.1575      0.0845    0.5604     4.3495
  0.7895  2.4640  19.7649   2.7998   0.1644      0.0858    0.5484     3.9461
  1.3849  2.1864  20.0000   2.4620   0.2220      0.0859    0.5207     3.0279
  1.5854  3.0925  20.0000   2.6748   0.2055      0.0880    0.5457     3.8118
  1.3693  2.8479  17.2626   2.4841   0.1390      0.0924    0.5458     3.3493
  0.6173  2.2905   8.9770   3.0871   0.1873      0.0934    0.5605     4.0583
  0.9288  2.6396  20.0000   2.6811   0.1270      0.0950    0.5549     3.8515
  1.2882  2.0132   9.3307   2.6149   0.2136      0.0956    0.5410     2.9015
  1.4404  2.9112   8.9636   2.9122   0.1590      0.0961    0.5653     3.2456
